"id","model_name","brand","release_date","display","battery","camera","ram","storage","price_usd","source_url","created_at"
1,"SamsungGalaxy A56","Samsung","2025-02-03","6.7 inches, 110.2 cm 2 (~87.7% screen-to-body ratio)",5000,"50 MP, f/1.8, (wide), 1/1.56"", 1.0µm, PDAF, OIS 12 MP, f/2.2, 123˚ (ultrawide), 1/3.06"", 1.12µm 5 MP, f/2.4, (macro)","6GB","128GB 6GB RAM, 128GB 8GB RAM, 256GB 6GB RAM, 256GB 8GB RAM, 256GB 12GB RAM","499.00","https://www.gsmarena.com/samsung_galaxy_a56-13603.php","2025-10-25 15:36:24.996319"
2,"SamsungGalaxy S25 Ultra","Samsung","2025-01-22","6.9 inches, 116.9 cm 2 (~92.5% screen-to-body ratio)",5000,"200 MP, f/1.7, 24mm (wide), 1/1.3"", 0.6µm, multi-directional PDAF, OIS 10 MP, f/2.4, 67mm (telephoto), 1/3.52"", 1.12µm, PDAF, OIS, 3x optical zoom 50 MP, f/3.4, 111mm (periscope telephoto), 1/2.52"", 0.7µm, PDAF, OIS, 5x optical zoom 50 MP, f/1.9, 120˚ (ultrawide), 1/2.5"", 0.7µm, dual pixel PDAF, Super Steady video","12GB","256GB 12GB RAM, 512GB 12GB RAM, 1TB 12GB RAM, 1TB 16GB RAM","689.94","https://www.gsmarena.com/samsung_galaxy_s25_ultra-13322.php","2025-10-25 15:36:24.999299"
3,"SamsungGalaxy A17","Samsung","2025-06-08","6.7 inches, 110.2 cm 2 (~86.0% screen-to-body ratio)",5000,"50 MP, f/1.8, (wide), 1/2.76"", 0.64µm, AF, OIS 5 MP, f/2.2, (ultrawide), 1/5.0"", 1.12µm 2 MP, f/2.4, (macro)","4GB","128GB 4GB RAM, 128GB 6GB RAM, 128GB 8GB RAM, 256GB 4GB RAM, 256GB 8GB RAM","205.00","https://www.gsmarena.com/samsung_galaxy_a17_5g-14041.php","2025-10-25 15:36:25.001733"
4,"SamsungGalaxy S25","Samsung","2025-01-22","6.2 inches, 94.4 cm 2 (~91.1% screen-to-body ratio)",4000,"50 MP, f/1.8, 24mm (wide), 1/1.56"", 1.0µm, dual pixel PDAF, OIS 10 MP, f/2.4, 67mm (telephoto), 1/3.94"", 1.0µm, PDAF, OIS, 3x optical zoom 12 MP, f/2.2, 13mm, 120˚ (ultrawide), 1/2.55"" 1.4µm, Super Steady video","12GB","128GB 12GB RAM, 256GB 12GB RAM, 512GB 12GB RAM","456.98","https://www.gsmarena.com/samsung_galaxy_s25-13610.php","2025-10-25 15:36:25.003056"
5,"SamsungGalaxy S25 FE","Samsung","2025-04-09","6.7 inches, 110.2 cm 2 (~89.2% screen-to-body ratio)",4900,"50 MP, f/1.8, 24mm (wide), 1/1.57"", 1.0µm, dual pixel PDAF, OIS 8 MP, f/2.4, 75mm (telephoto), 1/4.4"", 1.0µm, PDAF, OIS, 3x optical zoom 12 MP, f/2.2, 13mm, 123˚ (ultrawide), 1/3.0"", 1.12µm","8GB","128GB 8GB RAM, 256GB 8GB RAM, 512GB 8GB RAM","619.99","https://www.gsmarena.com/samsung_galaxy_s25_fe_5g-14042.php","2025-10-25 15:36:25.004637"
6,"SamsungGalaxy A36","Samsung","2025-02-03","6.7 inches, 110.2 cm 2 (~86.5% screen-to-body ratio)",5000,"50 MP, f/1.8, (wide), 1/1.96"", PDAF, OIS 8 MP, f/2.2, 123˚, (ultrawide), 1/4.0"", 1.12µm 5 MP, f/2.4, (macro)","6GB","128GB 6GB RAM, 128GB 8GB RAM, 256GB 6GB RAM, 256GB 8GB RAM, 256GB 12GB RAM","349.99","https://www.gsmarena.com/samsung_galaxy_a36-13497.php","2025-10-25 15:36:25.006017"
7,"SamsungGalaxy A07 4G","Samsung","2025-08-25","6.7 inches, 108.4 cm 2 (~83.6% screen-to-body ratio)",5000,"50 MP, f/1.8, (wide), 1/2.76"", 0.64µm, PDAF 2 MP, f/2.4, (depth)","4GB","64GB 4GB RAM, 128GB 4GB RAM, 128GB 6GB RAM, 256GB 8GB RAM","99.00","https://www.gsmarena.com/samsung_galaxy_a07-14066.php","2025-10-25 15:36:25.007417"
8,"SamsungGalaxy S24 Ultra","Samsung","2024-01-17","6.8 inches, 113.5 cm 2 (~88.5% screen-to-body ratio)",5000,"200 MP, f/1.7, 24mm (wide), 1/1.3"", 0.6µm, multi-directional PDAF, OIS 10 MP, f/2.4, 67mm (telephoto), 1/3.52"", 1.12µm, PDAF, OIS, 3x optical zoom 50 MP, f/3.4, 111mm (periscope telephoto), 1/2.52"", 0.7µm, PDAF, OIS, 5x optical zoom 12 MP, f/2.2, 13mm, 120˚ (ultrawide), 1/2.55"", 1.4µm, dual pixel PDAF, Super Steady video","12GB","256GB 12GB RAM, 512GB 12GB RAM, 1TB 12GB RAM","1299.99","https://www.gsmarena.com/samsung_galaxy_s24_ultra-12771.php","2025-10-25 15:36:25.008875"
9,"SamsungGalaxy S24","Samsung","2024-01-17","6.2 inches, 94.4 cm 2 (~90.9% screen-to-body ratio)",4000,"50 MP, f/1.8, 24mm (wide), 1/1.56"", 1.0µm, dual pixel PDAF, OIS 10 MP, f/2.4, 67mm (telephoto), 1/3.94"", 1.0µm, PDAF, OIS, 3x optical zoom 12 MP, f/2.2, 13mm, 120˚ (ultrawide), 1/2.55"" 1.4µm, Super Steady video","8GB","128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM, 512GB 8GB RAM","306.43","https://www.gsmarena.com/samsung_galaxy_s24-12773.php","2025-10-25 15:36:25.010181"
10,"SamsungGalaxy S24 FE","Samsung","2024-09-26","6.7 inches, 110.2 cm 2 (~88.0% screen-to-body ratio)",4700,"50 MP, f/1.8, 24mm (wide), 1/1.57"", 1.0µm, dual pixel PDAF, OIS 8 MP, f/2.4, 75mm (telephoto), 1/4.4"", 1.0µm, PDAF, OIS, 3x optical zoom 12 MP, f/2.2, 13mm, 123˚ (ultrawide), 1/3.0"", 1.12µm","8GB","128GB 8GB RAM, 256GB 8GB RAM, 512GB 8GB RAM","649.99","https://www.gsmarena.com/samsung_galaxy_s24_fe-13262.php","2025-10-25 15:36:25.011779"
11,"SamsungGalaxy A55","Samsung","2024-11-03","6.6 inches, 106.9 cm 2 (~85.8% screen-to-body ratio)",5000,"50 MP, f/1.8, (wide), 1/1.56"", 1.0µm, PDAF, OIS 12 MP, f/2.2, 123˚ (ultrawide), 1/3.06"", 1.12µm 5 MP, f/2.4, (macro)","6GB","128GB 6GB RAM, 128GB 8GB RAM, 256GB 6GB RAM, 256GB 8GB RAM, 256GB 12GB RAM","379.00","https://www.gsmarena.com/samsung_galaxy_a55-12824.php","2025-10-25 15:36:25.013183"
12,"SamsungGalaxy A26","Samsung","2025-02-03","6.7 inches, 110.2 cm 2 (~86.7% screen-to-body ratio)",5000,"50 MP, f/1.8, 27mm (wide), 1/2.76"", 0.64µm, PDAF, OIS 8 MP, f/2.2, 120˚ (ultrawide), 1/4.0"", 1.12µm 2 MP, f/2.4, (macro)","4GB","128GB 4GB RAM, 128GB 6GB RAM, 128GB 8GB RAM, 256GB 6GB RAM, 256GB 8GB RAM","229.00","https://www.gsmarena.com/samsung_galaxy_a26-13679.php","2025-10-25 15:36:25.014498"
13,"SamsungGalaxy S22 Ultra 5G","Samsung","2022-09-02","6.8 inches, 114.7 cm 2 (~90.2% screen-to-body ratio)",5000,"108 MP, f/1.8, 23mm (wide), 1/1.33"", 0.8µm, PDAF, OIS 10 MP, f/2.4, 70mm (telephoto), 1/3.52"", 1.12µm, PDAF, OIS, 3x optical zoom 10 MP, f/4.9, 230mm (periscope telephoto), 1/3.52"", 1.12µm, PDAF, OIS, 10x optical zoom 12 MP, f/2.2, 13mm, 120˚ (ultrawide), 1/2.55"", 1.4µm, dual pixel PDAF, Super Steady video","8GB","128GB 8GB RAM, 256GB 12GB RAM, 512GB 12GB RAM, 1TB 12GB RAM","999.99","https://www.gsmarena.com/samsung_galaxy_s22_ultra_5g-11251.php","2025-10-25 15:36:25.015775"
14,"SamsungGalaxy A16 5G","Samsung","2024-07-10","6.7 inches, 110.2 cm 2 (~86.0% screen-to-body ratio)",5000,"50 MP, f/1.8, (wide), 1/2.76"", 0.64µm, AF 5 MP, f/2.2, (ultrawide), 1/5.0"", 1.12µm 2 MP, f/2.4, (macro)","4GB","128GB 4GB RAM, 128GB 6GB RAM, 128GB 8GB RAM, 256GB 6GB RAM, 256GB 8GB RAM","154.00","https://www.gsmarena.com/samsung_galaxy_a16_5g-13346.php","2025-10-25 15:36:25.017165"
15,"SamsungGalaxy A16","Samsung","2024-10-15","6.7 inches, 110.2 cm 2 (~86.0% screen-to-body ratio)",5000,"50 MP, f/1.8, (wide), 1/2.76"", 0.64µm, AF 5 MP, f/2.2, (ultrawide), 1/5.0"", 1.12µm 2 MP, f/2.4, (macro)","4GB","128GB 4GB RAM, 128GB 6GB RAM, 128GB 8GB RAM, 256GB 4GB RAM, 256GB 6GB RAM, 256GB 8GB RAM","149.00","https://www.gsmarena.com/samsung_galaxy_a16-13383.php","2025-10-25 15:36:25.018486"
16,"SamsungGalaxy A06","Samsung","2024-08-16","6.7 inches, 108.4 cm 2 (~83.8% screen-to-body ratio)",5000,"50 MP, f/1.8, (wide), 1/2.76"", 0.64µm, PDAF 2 MP, f/2.4, (depth)","4GB","64GB 4GB RAM, 128GB 4GB RAM, 128GB 6GB RAM","125.00","https://www.gsmarena.com/samsung_galaxy_a06-13265.php","2025-10-25 15:36:25.020287"
17,"SamsungGalaxy S23 Ultra","Samsung","2023-01-02","6.8 inches, 114.7 cm 2 (~89.9% screen-to-body ratio)",5000,"200 MP, f/1.7, 24mm (wide), 1/1.3"", 0.6µm, multi-directional PDAF, OIS 10 MP, f/2.4, 70mm (telephoto), 1/3.52"", 1.12µm, PDAF, OIS, 3x optical zoom 10 MP, f/4.9, 230mm (periscope telephoto), 1/3.52"", 1.12µm, PDAF, OIS, 10x optical zoom 12 MP, f/2.2, 13mm, 120˚ (ultrawide), 1/2.55"", 1.4µm, dual pixel PDAF, Super Steady video","8GB","256GB 8GB RAM, 256GB 12GB RAM, 512GB 12GB RAM, 1TB 12GB RAM","950.00","https://www.gsmarena.com/samsung_galaxy_s23_ultra-12024.php","2025-10-25 15:36:25.021898"
18,"SamsungGalaxy A35","Samsung","2024-11-03","6.6 inches, 106.9 cm 2 (~84.8% screen-to-body ratio)",5000,"50 MP, f/1.8, (wide), 1/1.96"", PDAF, OIS 8 MP, f/2.2, 123˚, (ultrawide), 1/4.0"", 1.12µm 5 MP, f/2.4, (macro)","4GB","128GB 4GB RAM, 128GB 6GB RAM, 128GB 8GB RAM, 256GB 6GB RAM, 256GB 8GB RAM, 256GB 12GB RAM","299.00","https://www.gsmarena.com/samsung_galaxy_a35-12705.php","2025-10-25 15:36:25.023272"
19,"SamsungGalaxy S23","Samsung","2023-01-02","6.1 inches, 90.1 cm 2 (~86.8% screen-to-body ratio)",3900,"50 MP, f/1.8, 24mm (wide), 1/1.56"", 1.0µm, dual pixel PDAF, OIS 10 MP, f/2.4, 70mm (telephoto), 1/3.94"", 1.0µm, PDAF, OIS, 3x optical zoom 12 MP, f/2.2, 13mm, 120˚ (ultrawide), 1/2.55"" 1.4µm, Super Steady video","8GB","128GB 8GB RAM, 256GB 8GB RAM, 512GB 8GB RAM","799.99","https://www.gsmarena.com/samsung_galaxy_s23-12082.php","2025-10-25 15:36:25.024639"
20,"SamsungGalaxy S22 5G","Samsung","2022-09-02","6.1 inches, 90.1 cm 2 (~87.4% screen-to-body ratio)",3700,"50 MP, f/1.8, 23mm (wide), 1/1.56"", 1.0µm, dual pixel PDAF, OIS 10 MP, f/2.4, 70mm (telephoto), 1/3.94"", 1.0µm, PDAF, OIS, 3x optical zoom 12 MP, f/2.2, 13mm, 120˚ (ultrawide), 1/2.55"" 1.4µm, Super Steady video","8GB","128GB 8GB RAM, 256GB 8GB RAM","699.00","https://www.gsmarena.com/samsung_galaxy_s22_5g-11253.php","2025-10-25 15:36:25.025928"
21,"SamsungGalaxy S25 Edge","Samsung","2025-05-13","6.7 inches, 110.2 cm 2 (~92.1% screen-to-body ratio)",3900,"200 MP, f/1.7, 24mm (wide), 1/1.3"", 0.6µm, multi-directional PDAF, OIS 12 MP, f/2.2, 13mm (ultrawide), 1/2.55"", 1.4µm, PDAF","12GB","256GB 12GB RAM, 512GB 12GB RAM","549.00","https://www.gsmarena.com/samsung_galaxy_s25_edge-13506.php","2025-10-25 15:36:25.027206"
22,"SamsungGalaxy Z Fold7","Samsung","2025-09-07","8.0 inches, 204.2 cm 2 (~90.0% screen-to-body ratio)",4400,"200 MP, f/1.7, 24mm (wide), 1/1.3"", 0.6µm, multi-directional PDAF, OIS 10 MP, f/2.4, 67mm (telephoto), 1.0µm, PDAF, OIS, 3x optical zoom 12 MP, f/2.2, 120˚ (ultrawide), 1.4µm, dual pixel PDAF","12GB","256GB 12GB RAM, 512GB 12GB RAM, 1TB 12GB RAM, 1TB 16GB RAM","1729.00","https://www.gsmarena.com/samsung_galaxy_z_fold7-13826.php","2025-10-25 15:36:25.028485"
23,"SamsungGalaxy A15","Samsung","2023-11-12","6.5 inches, 103.7 cm 2 (~84.3% screen-to-body ratio)",5000,"50 MP, f/1.8, 26mm (wide), 1/2.8"", 0.64µm, PDAF 5 MP, f/2.2, 17mm (ultrawide), 1/5.0"", 1.12µm 2 MP, f/2.4, (macro)","4GB","128GB 4GB RAM, 128GB 6GB RAM, 128GB 8GB RAM, 256GB 6GB RAM, 256GB 8GB RAM","129.00","https://www.gsmarena.com/samsung_galaxy_a15-12637.php","2025-10-25 15:36:25.029801"
24,"SamsungGalaxy S21 5G","Samsung","2021-01-14","6.2 inches, 94.1 cm 2 (~87.2% screen-to-body ratio)",4000,"12 MP, f/1.8, 26mm (wide), 1/1.76"", 1.8µm, dual pixel PDAF, OIS 64 MP, f/2.0, 29mm (telephoto), 1/1.72"", 0.8µm, PDAF, OIS, 1.1x optical zoom, 3x hybrid zoom 12 MP, f/2.2, 13mm, 120˚ (ultrawide), 1/2.55"" 1.4µm, Super Steady video","6GB","128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM","699.99","https://www.gsmarena.com/samsung_galaxy_s21_5g-10626.php","2025-10-25 15:36:25.03141"
25,"SamsungGalaxy S21 Ultra 5G","Samsung","2021-01-14","6.8 inches, 112.1 cm 2 (~89.8% screen-to-body ratio)",5000,"108 MP, f/1.8, 24mm (wide), 1/1.33"", 0.8µm, PDAF, OIS 10 MP, f/2.4, 72mm (telephoto), 1/3.24"", 1.22µm, dual pixel PDAF, OIS, 3x optical zoom 10 MP, f/4.9, 240mm (periscope telephoto), 1/3.24"", 1.22µm, dual pixel PDAF, OIS, 10x optical zoom 12 MP, f/2.2, 13mm (ultrawide), 1/2.55"", 1.4µm, dual pixel PDAF, Super Steady video","8GB","128GB 8GB RAM, 128GB 12GB RAM, 256GB 12GB RAM, 256GB 16GB RAM, 512GB 12GB RAM, 512GB 16GB RAM","1199.00","https://www.gsmarena.com/samsung_galaxy_s21_ultra_5g-10596.php","2025-10-25 15:36:25.032773"
26,"SamsungGalaxy A54","Samsung","2023-03-15","6.4 inches, 100.5 cm 2 (~82.9% screen-to-body ratio)",5000,"50 MP, f/1.8, 23mm (wide), 1/1.56"", 1.0µm, PDAF, OIS 12 MP, f/2.2, 13mm, 123˚ (ultrawide), 1/3.X"", 1.12µm 5 MP, f/2.4, (macro)","4GB","128GB 4GB RAM, 128GB 6GB RAM, 128GB 8GB RAM, 256GB 6GB RAM, 256GB 8GB RAM","499.00","https://www.gsmarena.com/samsung_galaxy_a54-12070.php","2025-10-25 15:36:25.034418"
27,"SamsungGalaxy S25+","Samsung","2025-01-22","6.7 inches, 110.2 cm 2 (~91.8% screen-to-body ratio)",4900,"50 MP, f/1.8, 24mm (wide), 1/1.56"", 1.0µm, dual pixel PDAF, OIS 10 MP, f/2.4, 67mm (telephoto), 1/3.94"", 1.0µm, PDAF, OIS, 3x optical zoom 12 MP, f/2.2, 13mm, 120˚ (ultrawide), 1/2.55"" 1.4µm, Super Steady video","12GB","256GB 12GB RAM, 512GB 12GB RAM","599.00","https://www.gsmarena.com/samsung_galaxy_s25+-13609.php","2025-10-25 15:36:25.036245"
28,"SamsungGalaxy S21 FE 5G","Samsung","2022-04-01","6.4 inches, 100.5 cm 2 (~86.7% screen-to-body ratio)",4500,"12 MP, f/1.8, 26mm (wide), 1/1.76"", 1.8µm, dual pixel PDAF, OIS 8 MP, f/2.4, 76mm (telephoto), 1/4.5"", 1.0µm, PDAF, OIS, 3x optical zoom 12 MP, f/2.2, 13mm, 123˚ (ultrawide), 1/3.0"", 1.12µm","6GB","128GB 6GB RAM, 128GB 8GB RAM, 256GB 6GB RAM, 256GB 8GB RAM","549.99","https://www.gsmarena.com/samsung_galaxy_s21_fe_5g-10954.php","2025-10-25 15:36:25.0376"
29,"SamsungGalaxy M17","Samsung","2025-10-10","6.7 inches, 110.2 cm 2 (~86.0% screen-to-body ratio)",5000,"50 MP, f/1.8, (wide), 1/2.76"", 0.64µm, AF, OIS 5 MP, f/2.2, (ultrawide), 1/5.0"", 1.12µm 2 MP, f/2.2, (macro)","4GB","128GB 4GB RAM, 128GB 6GB RAM, 128GB 8GB RAM","199.00","https://www.gsmarena.com/samsung_galaxy_m17_5g-14221.php","2025-10-25 15:36:25.038949"
30,"SamsungGalaxy Tab A9+","Samsung","2023-05-10","11.0 inches, 350.9 cm 2 (~80.9% screen-to-body ratio)",7040,"8 MP, AF","4GB","64GB 4GB RAM, 128GB 4GB RAM, 128GB 8GB RAM, 256GB 8GB RAM","269.00","https://www.gsmarena.com/samsung_galaxy_tab_a9+-12617.php","2025-10-25 15:36:25.040289"
